Week.Ending.Date,Geographic.aggregation,Number.of.Inpatient.Beds.Occupied,Total.COVID.19.Admissions,Total.Influenza.Admissions,Total.RSV.Admissions,Total.Adult.RSV.Admissions
11/23/2024,KS,4760,59,17,7,0
11/23/2024,KY,8454,100,19,54,14
11/23/2024,LA,8832,68,78,94,23
11/23/2024,MA,13399,368,45,119,67
11/23/2024,MD,8797,87,16,99,36
11/23/2024,ME,2257,21,0,0,0
11/23/2024,MI,11790,450,56,53,27
11/23/2024,MN,7383,142,11,15,4
11/23/2024,MO,12861,172,40,59,11
11/23/2024,MS,5379,50,35,67,19
11/23/2024,MT,1644,26,1,0,0
11/23/2024,NC,18220,162,31,79,28
11/23/2024,ND,1473,19,3,1,1
11/23/2024,NE,3431,36,4,2,0
11/23/2024,NH,1904,16,11,4,4
11/23/2024,NJ,15215,210,47,205,69
11/23/2024,NM,2738,119,28,4,0
11/23/2024,NV,5253,33,47,22,3
11/23/2024,NY,35502,405,103,406,133
11/23/2024,OH,21373,326,40,175,42
11/23/2024,OK,7090,71,14,11,1
11/23/2024,OR,5024,59,62,6,4
11/23/2024,PA,20246,1032,134,175,85
11/23/2024,PR,1370,24,42,27,0
11/23/2024,RI,1891,30,2,18,4
11/23/2024,SC,8106,72,12,112,37
11/23/2024,SD,1583,31,0,0,0
11/23/2024,TN,13692,99,58,141,33
11/23/2024,TX,46548,262,273,622,115
11/23/2024,UT,3737,64,20,3,1
11/23/2024,VA,12650,120,35,70,21
11/23/2024,VI,62,0,0,0,0
11/23/2024,VT,764,21,0,0,0
11/23/2024,WA,9783,89,29,37,27
11/23/2024,WI,8100,152,18,11,4
11/23/2024,WV,4039,146,4,13,4
11/23/2024,WY,224,32,8,1,0
11/30/2024,AK,1020,5,9,10,1
11/30/2024,AL,8791,91,65,130,33
11/30/2024,AR,5066,58,12,24,9
11/30/2024,AS,69,0,2,1,0
11/30/2024,AZ,9933,746,590,81,69
11/30/2024,CA,49111,691,693,327,128
11/30/2024,CO,7106,171,67,23,4
11/30/2024,CT,5955,68,10,50,10
11/30/2024,DC,1928,11,6,2,0
11/30/2024,DE,1849,26,5,47,12
11/30/2024,FL,40538,320,605,538,278
11/30/2024,GA,16278,84,56,401,124
11/30/2024,GU,271,1,2,1,0
11/30/2024,HI,1784,10,14,19,6
11/30/2024,IA,4675,54,4,10,0
11/30/2024,ID,1656,23,63,3,0
11/30/2024,IL,19159,274,83,225,65
11/30/2024,IN,10869,156,41,59,22
11/30/2024,KS,4508,50,20,13,3
11/30/2024,KY,8570,96,24,60,18
11/30/2024,LA,8410,64,141,131,38
11/30/2024,MA,12042,368,63,134,56
11/30/2024,MD,8500,77,21,113,34
11/30/2024,ME,2160,25,2,2,0
11/30/2024,MI,14599,595,65,106,45
11/30/2024,MN,7215,134,18,23,4
11/30/2024,MO,12036,166,41,59,16
11/30/2024,MS,4734,33,28,77,27
11/30/2024,MT,1560,17,2,2,1
11/30/2024,NC,17714,149,43,125,50
11/30/2024,ND,1435,24,1,0,0
11/30/2024,NE,3248,42,11,7,1
11/30/2024,NH,1767,43,14,4,3
11/30/2024,NJ,14369,187,67,283,99
11/30/2024,NM,2695,123,55,6,1
11/30/2024,NV,5331,65,61,24,1
11/30/2024,NY,33603,366,145,564,187
11/30/2024,OH,20158,335,55,197,47
11/30/2024,OK,6665,105,40,15,3
11/30/2024,OR,5222,52,80,12,4
11/30/2024,PA,19383,640,115,198,105
11/30/2024,PR,4397,78,279,149,13
11/30/2024,RI,1949,21,6,35,9
11/30/2024,SC,8113,67,18,121,45
11/30/2024,SD,1035,19,5,0,0
11/30/2024,TN,13263,143,60,140,32
11/30/2024,TX,44505,285,403,764,140
11/30/2024,UT,3730,59,20,11,2
11/30/2024,VA,12022,107,46,99,36
11/30/2024,VI,58,0,0,0,0
11/30/2024,VT,711,12,3,3,1
11/30/2024,WA,9445,78,46,44,26
11/30/2024,WI,7815,136,12,21,10
11/30/2024,WV,3765,147,3,27,12
11/30/2024,WY,359,47,7,3,0
12/7/2024,AK,1014,17,17,3,0
12/7/2024,AL,9405,104,102,166,68
12/7/2024,AR,5633,66,32,32,24
12/7/2024,AS,77,3,0,0,0
12/7/2024,AZ,10628,837,884,142,99
12/7/2024,CA,49787,752,1064,423,150
12/7/2024,CO,7588,183,90,34,10
12/7/2024,CT,6362,94,13,60,24
12/7/2024,DC,2286,18,2,4,2
12/7/2024,DE,1903,24,15,70,20
12/7/2024,FL,41859,295,698,514,289
12/7/2024,GA,17670,114,88,411,192
12/7/2024,GU,256,1,0,1,0
12/7/2024,HI,1988,15,20,19,4
12/7/2024,IA,4817,87,13,13,3
12/7/2024,ID,1787,33,77,5,2
12/7/2024,IL,19300,326,105,256,100
12/7/2024,IN,11595,257,65,73,28
12/7/2024,KS,4827,94,35,15,12
12/7/2024,KY,8969,137,52,96,38
12/7/2024,LA,8759,80,160,160,47
12/7/2024,MA,13499,448,83,163,72
12/7/2024,MD,8882,86,37,125,57
12/7/2024,ME,2004,20,3,2,0
12/7/2024,MI,15149,587,91,121,52
12/7/2024,MN,7735,192,40,48,21
12/7/2024,MO,12738,190,54,86,24
12/7/2024,MS,5349,54,39,108,40
12/7/2024,MT,1695,40,2,0,0
12/7/2024,NC,18237,178,65,165,61
12/7/2024,ND,1511,17,2,1,1
12/7/2024,NE,3173,78,10,7,3
12/7/2024,NH,1914,61,14,12,9
12/7/2024,NJ,15275,188,109,290,94
12/7/2024,NM,2820,127,103,9,2
12/7/2024,NV,5511,49,81,29,10
12/7/2024,NY,35526,450,274,723,277
12/7/2024,OH,21325,385,91,286,82
12/7/2024,OK,7320,145,40,25,10
12/7/2024,OR,5339,59,118,13,5
12/7/2024,PA,20198,642,175,291,139
12/7/2024,PR,5100,107,440,296,12
12/7/2024,RI,1949,40,10,48,10
12/7/2024,SC,8500,75,40,152,79
12/7/2024,SD,1620,24,1,0,0
12/7/2024,TN,13766,143,115,155,45
12/7/2024,TX,47985,395,529,872,209
12/7/2024,UT,3916,62,64,15,11
12/7/2024,VA,12501,134,68,77,40
12/7/2024,VI,54,0,0,0,0
12/7/2024,VT,755,20,0,5,2
12/7/2024,WA,9930,56,78,71,37
12/7/2024,WI,8286,192,27,27,14
12/7/2024,WV,3975,92,13,17,3
12/7/2024,WY,354,42,5,7,2
12/14/2024,AK,898,8,25,16,6
12/14/2024,AL,9791,113,193,155,84
12/14/2024,AR,5512,57,41,52,39
12/14/2024,AS,91,0,3,0,0
12/14/2024,AZ,10590,758,995,123,99
12/14/2024,CA,49803,728,1400,455,160
12/14/2024,CO,7532,172,128,68,19
12/14/2024,CT,6690,101,24,100,49
12/14/2024,DC,2325,22,6,14,7
12/14/2024,DE,1928,25,15,79,23
12/14/2024,FL,44078,331,865,608,393
12/14/2024,GA,17779,159,214,408,226
12/14/2024,GU,271,0,3,0,0
12/14/2024,HI,2020,13,34,30,12
12/14/2024,IA,4986,84,23,24,7
12/14/2024,ID,1900,45,107,10,4
12/14/2024,IL,19954,437,239,365,149
12/14/2024,IN,11753,313,140,140,66
12/14/2024,KS,4759,90,88,20,5
12/14/2024,KY,9311,165,79,132,63
12/14/2024,LA,9402,104,252,181,61
12/14/2024,MA,12206,425,126,221,128
12/14/2024,MD,9318,88,73,179,88
12/14/2024,ME,2303,33,2,3,0
12/14/2024,MI,14911,674,167,155,84
12/14/2024,MN,7878,225,92,60,23
12/14/2024,MO,12971,241,81,62,20
12/14/2024,MS,5396,67,61,98,35
12/14/2024,MT,1620,28,6,2,2
12/14/2024,NC,18679,232,173,284,141
12/14/2024,ND,977,11,0,0,0
12/14/2024,NE,3497,66,19,9,2
12/14/2024,NH,1894,67,21,10,5
12/14/2024,NJ,14911,241,174,406,168
12/14/2024,NM,2785,144,108,12,3
12/14/2024,NV,5577,52,113,45,16
12/14/2024,NY,35718,497,426,854,399
12/14/2024,OH,22253,530,151,371,132
12/14/2024,OK,7394,158,57,40,16
12/14/2024,OR,5542,68,197,31,7
12/14/2024,PA,19686,712,267,396,208
12/14/2024,PR,4704,86,378,206,8
12/14/2024,RI,1904,50,28,47,16
12/14/2024,SC,8866,85,77,179,102
12/14/2024,SD,1395,43,8,3,0
12/14/2024,TN,14533,195,215,203,86
12/14/2024,TX,48327,368,708,905,279
12/14/2024,UT,3827,55,87,21,7
12/14/2024,VA,12836,185,140,94,68
12/14/2024,VI,53,0,0,0,0
12/14/2024,VT,772,16,8,8,1
12/14/2024,WA,9977,76,186,125,79
12/14/2024,WI,8408,231,66,60,36
12/14/2024,WV,4189,156,21,39,19
12/14/2024,WY,267,55,31,5,2
12/21/2024,AK,915,10,18,19,10
12/21/2024,AL,9207,152,437,173,93
12/21/2024,AR,5560,83,58,71,44
12/21/2024,AS,86,1,0,2,0
12/21/2024,AZ,10039,754,1507,231,154
12/21/2024,CA,50042,814,2434,609,285
12/21/2024,CO,7647,228,179,111,29
12/21/2024,CT,5720,96,41,104,46
12/21/2024,DC,1889,15,19,3,2
12/21/2024,DE,1893,42,43,112,38
12/21/2024,FL,43339,398,1251,605,366
12/21/2024,GA,17508,171,388,430,233
12/21/2024,GU,263,0,0,0,0
12/21/2024,HI,2092,13,42,21,8
12/21/2024,IA,4829,86,42,41,7
12/21/2024,ID,1995,35,185,27,7
12/21/2024,IL,19777,551,488,485,198
12/21/2024,IN,11156,392,275,204,79
12/21/2024,KS,4872,132,120,46,18
12/21/2024,KY,8611,216,193,178,73
12/21/2024,LA,8677,110,417,191,77
12/21/2024,MA,13598,385,137,229,148
12/21/2024,MD,9091,112,131,199,98
12/21/2024,ME,2074,28,10,7,3
12/21/2024,MI,10898,432,179,175,74
12/21/2024,MN,7641,259,227,110,49
12/21/2024,MO,12859,252,242,94,37
12/21/2024,MS,4640,47,94,78,34
12/21/2024,MT,1685,18,27,4,2
12/21/2024,NC,18390,256,292,387,196
12/21/2024,ND,1530,25,8,4,2
12/21/2024,NE,3400,69,78,39,13
12/21/2024,NH,1861,47,16,20,14
12/21/2024,NJ,14832,300,335,454,229
12/21/2024,NM,2640,134,207,18,6
12/21/2024,NV,5483,72,208,62,17
12/21/2024,NY,35613,625,740,989,476
12/21/2024,OH,21224,688,298,555,160
12/21/2024,OK,7350,166,104,58,19
12/21/2024,OR,5533,72,386,33,17
12/21/2024,PA,13410,574,365,346,207
12/21/2024,PR,4076,116,354,182,3
12/21/2024,RI,1751,41,23,56,28
12/21/2024,SC,8364,132,160,217,121
12/21/2024,SD,1347,25,13,1,1
12/21/2024,TN,12945,176,372,238,78
12/21/2024,TX,48517,460,1167,975,291
12/21/2024,UT,3899,65,163,33,5
12/21/2024,VA,12609,198,192,200,87
12/21/2024,VI,56,0,0,0,0
12/21/2024,VT,747,9,8,4,2
12/21/2024,WA,9837,86,416,145,88
12/21/2024,WI,7341,288,113,75,36
12/21/2024,WV,3974,102,37,53,15
12/21/2024,WY,278,35,14,11,3
12/28/2024,AK,767,13,19,26,13
12/28/2024,AL,8326,216,667,173,99
12/28/2024,AR,4540,125,128,82,56
12/28/2024,AS,61,2,0,0,0
12/28/2024,AZ,9628,797,2295,312,207
12/28/2024,CA,46179,931,3490,703,306
12/28/2024,CO,6492,289,475,137,29
12/28/2024,CT,5943,160,148,155,80
12/28/2024,DC,1896,24,38,9,9
12/28/2024,DE,1616,48,96,104,45
12/28/2024,FL,37637,427,2056,583,394
12/28/2024,GA,14783,229,773,421,240
12/28/2024,GU,250,1,3,0,0
12/28/2024,HI,1830,9,57,16,8
12/28/2024,IA,4119,127,116,49,16
12/28/2024,ID,1676,56,333,30,4
12/28/2024,IL,17135,801,1137,574,290
12/28/2024,IN,9738,548,586,229,93
12/28/2024,KS,3989,196,224,57,20
12/28/2024,KY,7192,284,477,195,104
12/28/2024,LA,7326,137,591,245,103
12/28/2024,MA,11467,375,256,242,163
12/28/2024,MD,6475,142,178,176,105
12/28/2024,ME,2034,50,30,5,2
12/28/2024,MI,12229,735,429,395,145
12/28/2024,MN,6668,353,545,133,45
12/28/2024,MO,10923,393,601,173,74
12/28/2024,MS,4251,70,212,76,36
12/28/2024,MT,1415,40,60,6,3
12/28/2024,NC,15774,362,608,525,257
12/28/2024,ND,1335,30,22,2,0
12/28/2024,NE,2836,98,131,34,9
12/28/2024,NH,1571,74,42,30,21
12/28/2024,NJ,13091,425,723,501,291
12/28/2024,NM,2473,147,234,34,9
12/28/2024,NV,4715,47,255,62,16
12/28/2024,NY,32205,720,1540,1042,579
12/28/2024,OH,17835,859,698,564,234
12/28/2024,OK,6085,237,283,113,37
12/28/2024,OR,4825,84,549,87,34
12/28/2024,PA,18045,1141,1005,888,486
12/28/2024,PR,1031,13,30,16,7
12/28/2024,RI,1574,63,45,73,25
12/28/2024,SC,7221,168,327,257,166
12/28/2024,SD,1413,46,33,5,4
12/28/2024,TN,12165,229,747,292,119
12/28/2024,TX,40654,580,2040,1132,344
12/28/2024,UT,3230,97,287,57,5
12/28/2024,VA,10466,290,363,168,99
12/28/2024,VI,87,2,1,0,0
12/28/2024,VT,529,31,19,15,11
12/28/2024,WA,8744,115,541,161,88
12/28/2024,WI,7123,405,253,112,54
12/28/2024,WV,3160,143,102,96,34
12/28/2024,WY,280,93,90,14,1
12/30/2023,AK,952,34,4,4,0
12/30/2023,AR,4949,338,187,2,2
12/30/2023,AZ,10254,643,1106,5,2
12/30/2023,CA,46849,3892,1810,28,22
12/30/2023,CO,6395,475,367,1,0
12/30/2023,CT,5505,476,194,6,6
12/30/2023,DC,2108,75,57,0,0
12/30/2023,DE,1941,107,60,6,6
12/30/2023,FL,39393,1786,1352,1,1
12/30/2023,GA,15941,1066,1132,2,2
12/30/2023,HI,1811,81,32,0,0
12/30/2023,IA,4422,415,99,2,0
12/30/2023,ID,1785,185,163,7,3
12/30/2023,IL,19042,1795,576,5,5
12/30/2023,IN,10458,1048,556,18,11
12/30/2023,KS,4394,383,93,14,3
12/30/2023,KY,8495,595,261,2,2
12/30/2023,LA,7866,386,381,9,5
12/30/2023,MD,7948,577,328,5,5
12/30/2023,ME,2008,127,51,1,1
12/30/2023,MI,15131,1357,567,5,3
12/30/2023,MO,11220,808,369,0,0
12/30/2023,MS,4803,209,297,0,0
12/30/2023,MT,1578,108,116,0,0
12/30/2023,ND,1389,109,51,0,0
12/30/2023,NE,3160,252,51,1,0
12/30/2023,NH,1990,129,51,1,1
12/30/2023,NJ,14300,1373,729,0,0
12/30/2023,NM,3222,131,235,1,0
12/30/2023,NY,34728,3306,1343,37,34
12/30/2023,OH,19586,1807,638,57,4
12/30/2023,OK,5530,490,137,40,13
12/30/2023,OR,4926,298,147,0,0
12/30/2023,PA,21844,1806,933,42,32
12/30/2023,PR,4291,117,63,0,0
12/30/2023,RI,1608,111,46,8,8
12/30/2023,SC,7730,505,649,0,0
12/30/2023,SD,1346,132,48,0,0
12/30/2023,TX,40489,2158,1975,0,0
12/30/2023,UT,3278,237,80,2,1
12/30/2023,VA,11382,1022,731,0,0
12/30/2023,VT,824,56,19,1,1
12/30/2023,WI,7733,791,297,0,0
12/30/2023,WY,503,53,72,2,2
12/23/2023,AR,5196,338,96,1,1
12/23/2023,AZ,10638,523,946,4,0
12/23/2023,CA,49584,3423,1763,16,10
12/23/2023,CO,6773,457,252,0,0
12/23/2023,CT,5811,365,115,5,5
12/23/2023,DE,1997,102,24,3,3
12/23/2023,FL,41741,1453,989,1,1
12/23/2023,GA,16187,842,746,1,1
12/23/2023,HI,1848,84,28,0,0
12/23/2023,IA,4637,421,90,1,1
12/23/2023,ID,1927,164,115,4,1
12/23/2023,IL,19785,1566,464,4,4
12/23/2023,IN,10812,951,374,12,4
12/23/2023,KS,4666,345,92,11,5
12/23/2023,KY,8862,560,137,0,0
12/23/2023,LA,8349,324,307,2,1
12/23/2023,MD,8217,469,207,0,0
12/23/2023,ME,2104,116,16,3,3
12/23/2023,MI,15882,1148,271,0,0
12/23/2023,MO,12001,798,224,0,0
12/23/2023,MS,4905,167,200,0,0
12/23/2023,MT,1629,133,78,0,0
12/23/2023,ND,1405,95,26,0,0
12/23/2023,NE,3295,295,62,0,0
12/23/2023,NH,2121,133,41,3,3
12/23/2023,NJ,14866,980,488,0,0
12/23/2023,NY,36151,2638,944,38,37
12/23/2023,OH,20284,1550,438,58,11
12/23/2023,OK,5835,425,153,29,9
12/23/2023,OR,5103,208,103,1,0
12/23/2023,PA,23013,1417,702,72,48
12/23/2023,PR,4926,127,59,2,0
12/23/2023,RI,1723,98,16,2,2
12/23/2023,SC,7767,398,421,0,0
12/23/2023,SD,1428,129,33,0,0
12/23/2023,TX,42934,1917,1597,1,1
12/23/2023,UT,3631,200,58,0,0
12/23/2023,VA,11961,794,419,0,0
12/23/2023,VT,847,54,12,0,0
12/23/2023,WI,7995,692,187,0,0
12/23/2023,WY,565,41,28,1,0
12/16/2023,AL,9879,394,143,16,9
12/16/2023,AR,5393,310,53,2,1
12/16/2023,AZ,10756,482,602,3,0
12/16/2023,CA,49667,2982,1077,15,6
12/16/2023,CO,6908,425,234,0,0
12/16/2023,CT,5829,342,120,6,6
12/16/2023,DC,2254,48,20,0,0
12/16/2023,DE,1990,63,18,13,13
12/16/2023,FL,42225,1178,843,0,0
12/16/2023,GA,16429,592,442,0,0
12/16/2023,HI,1908,74,24,0,0
12/16/2023,IA,4715,421,50,1,0
12/16/2023,ID,1951,163,67,3,1
12/16/2023,IL,20242,1443,253,9,9
12/16/2023,IN,11007,868,260,8,2
12/16/2023,KS,4715,362,43,2,1
12/16/2023,KY,9095,456,86,0,0
12/16/2023,LA,8438,206,178,2,2
12/16/2023,MD,8291,461,115,0,0
12/16/2023,ME,2101,114,20,0,0
12/16/2023,MI,16259,998,247,0,0
12/16/2023,MO,12240,746,154,3,3
12/16/2023,MS,5014,136,96,0,0
12/16/2023,MT,1665,131,37,0,0
12/16/2023,ND,1427,84,16,0,0
12/16/2023,NE,3401,279,13,2,0
12/16/2023,NH,2144,116,28,1,1
12/16/2023,NJ,15024,753,304,0,0
12/16/2023,NY,36561,2049,744,42,37
12/16/2023,OH,20881,1343,239,36,5
12/16/2023,OK,5943,444,85,49,9
12/16/2023,OR,5190,208,45,0,0
12/16/2023,PA,22758,1158,391,33,25
12/16/2023,PR,5099,69,57,0,0
12/16/2023,RI,1736,77,24,2,2
12/16/2023,SC,7818,268,264,0,0
12/16/2023,SD,1486,127,13,0,0
12/16/2023,TX,43703,1681,1155,0,0
12/16/2023,UT,3632,270,24,4,0
12/16/2023,VA,12224,658,229,0,0
12/16/2023,VT,828,41,8,1,1
12/16/2023,WY,563,48,46,3,3
12/9/2023,AL,9998,345,110,16,12
12/9/2023,AR,5463,311,41,2,2
12/9/2023,AZ,10723,457,388,1,0
12/9/2023,CA,49127,2651,868,14,3
12/9/2023,CO,6918,480,153,0,0
12/9/2023,CT,5830,333,74,8,8
12/9/2023,DC,2312,42,14,NA,NA
12/9/2023,DE,2002,64,10,12,9
12/9/2023,FL,42611,906,761,0,0
12/9/2023,GA,16420,524,261,2,2
12/9/2023,HI,1927,88,32,1,1
12/9/2023,IA,4771,360,43,2,0
12/9/2023,ID,1918,169,46,1,0
12/9/2023,IL,20410,1370,205,5,5
12/9/2023,IN,11073,879,181,4,2
12/9/2023,KS,4766,345,37,6,1
12/9/2023,KY,9139,487,48,1,1
12/9/2023,LA,8497,210,158,6,5
12/9/2023,MD,8346,431,78,0,0
12/9/2023,ME,2187,118,15,0,0
12/9/2023,MI,16368,1035,173,0,0
12/9/2023,MO,12326,723,140,0,0
12/9/2023,MS,5065,140,71,3,2
12/9/2023,MT,1684,122,21,0,0
12/9/2023,ND,1765,94,11,0,0
12/9/2023,NE,3310,230,11,1,1
12/9/2023,NH,2163,100,15,1,1
12/9/2023,NJ,15025,645,160,0,0
12/9/2023,NM,3027,116,85,0,0
12/9/2023,NY,36661,1851,509,21,14
12/9/2023,OH,21154,1311,161,57,5
12/9/2023,OK,5883,412,59,23,12
12/9/2023,OR,5196,204,43,0,0
12/9/2023,PA,22002,1181,279,40,28
12/9/2023,PR,5195,90,48,2,0
12/9/2023,RI,1758,51,6,2,2
12/9/2023,SD,1504,107,6,0,0
12/9/2023,TX,41615,1467,829,1,1
12/9/2023,UT,3711,238,17,0,0
12/9/2023,VA,12137,602,157,0,0
12/9/2023,VT,837,66,8,0,0
12/9/2023,WI,8171,590,97,0,0
12/2/2023,AL,9762,300,84,10,5
12/2/2023,AR,5280,235,24,1,1
12/2/2023,AZ,10838,518,276,1,1
12/2/2023,CA,47972,2686,683,18,12
12/2/2023,CO,6785,533,126,0,0
12/2/2023,CT,5794,324,57,0,0
12/2/2023,DC,2262,43,11,NA,NA
12/2/2023,DE,1969,76,2,5,5
12/2/2023,FL,41722,811,743,0,0
12/2/2023,GA,15903,466,225,0,0
12/2/2023,HI,1890,77,23,0,0
12/2/2023,IA,4662,330,44,2,1
12/2/2023,ID,1855,165,19,1,0
12/2/2023,IL,19823,1410,165,7,7
12/2/2023,IN,10805,846,149,8,3
12/2/2023,KS,4582,303,37,0,0
12/2/2023,KY,8808,439,59,0,0
12/2/2023,LA,8278,210,121,16,6
12/2/2023,MD,8246,416,60,1,1
12/2/2023,ME,2083,87,9,0,0
12/2/2023,MI,15996,1071,106,0,0
12/2/2023,MO,12117,691,85,0,0
12/2/2023,MS,4994,115,77,0,0
12/2/2023,MT,1619,119,18,0,0
12/2/2023,ND,1453,98,17,0,0
12/2/2023,NE,3303,204,8,2,1
12/2/2023,NH,2132,93,7,0,0
12/2/2023,NJ,14667,622,129,0,0
12/2/2023,NY,36206,1787,345,18,13
12/2/2023,OH,20579,1307,134,57,2
12/2/2023,OK,5807,333,71,8,2
12/2/2023,OR,5143,229,17,0,0
12/2/2023,PA,22951,1123,212,41,32
12/2/2023,PR,5028,132,89,5,0
12/2/2023,RI,1742,53,6,1,1
12/2/2023,SD,1471,121,7,0,0
12/2/2023,TX,39560,1375,699,1,1
12/2/2023,UT,3478,221,17,0,0
12/2/2023,VA,11940,611,143,0,0
12/2/2023,VT,848,43,3,0,0
11/25/2023,AL,9329,228,71,0,0
11/25/2023,AZ,10379,542,209,1,1
11/25/2023,CA,45917,2229,459,1,NA
11/25/2023,MT,1586,103,6,0,0
11/25/2023,ND,1416,80,4,0,0
11/18/2023,MT,1662,96,3,0,0
11/18/2023,AL,9723,226,73,0,0
11/11/2023,AL,9771,263,56,0,0
11/11/2023,MT,1655,97,5,0,0
11/11/2023,ND,1402,60,2,0,0
11/4/2023,MT,1616,66,1,0,0
10/28/2023,MT,1628,62,0,0,0
10/21/2023,MT,1638,111,1,0,0
10/14/2023,MT,1679,122,0,0,0
10/7/2023,MT,1684,97,0,0,0
